pwm,tf,nvar,cons_aff,best_aff,dT,dN,dS,d_rep,same,rho,bucket
SPIB_1	SPIB_jaspar_MA0081.1,SPIB,4,0.6673465146415212,0.18761633032753047,2.076237375382221,1.1322970061075914,0.9439403692746298,0,False,-1.0,tumor-gain
SPIB_2	SPIB_jolma_DBD_M124,SPIB,4,0.28665210184689227,0.22001569724369113,0.21455633594129717,-0.30259983715247335,0.5171561730937705,0,False,0.7999999999999999,other
SPIB_Hsapiens-JASPAR_2014-SPIB-MA0081.1,SPIB,4,0.04707189979397068,0.04707189979397068,0.0,0.0,0.0,0,True,0.7999999999999999,neutral
SPIB_Hsapiens-JASPAR_CORE-SPIB-MA0081.1,SPIB,5,0.141757065434415,0.04100306289957854,-0.04335886897144027,-1.0103148243591533,0.9669559553877131,0,False,-0.09999999999999999,normal-suppression
SPIB_Hsapiens-jaspar2016-SPIB-MA0081.1,SPIB,6,0.02906313879391815,0.016894605046585336,-0.3928820623744197,-0.772229714472436,0.37934765209801635,0,False,0.4058397249567139,neutral
SPIB_Hsapiens-jaspar2018-SPIB-MA0081.1,SPIB,4,0.014879078865212367,0.006137773929752228,-3.284502944362893,-3.341065719939388,0.05656277557649503,0,False,-0.39999999999999997,neutral
SPIB_Hsapiens-jolma2013-SPIB,SPIB,5,0.09873426231889473,0.0735340961937215,-0.07197984980722091,-1.5556081347067945,1.4836282848995737,0,False,0.7,normal-suppression
SPIC_1	SPIC_jolma_full_M125,SPIC,5,0.5774650393648744,0.31411014532394443,0.8390997036288766,-1.1241332592629207,1.9632329628917975,0,False,-0.7,tumor-gain
SPIC_2	Spic_jolma_DBD_M126,SPIC,6,0.1128066436721023,0.1128066436721023,0.0,0.0,0.0,0,True,0.6,neutral
SPIC_Hsapiens-HOCOMOCOv10-SPIC_HUMAN.H10MO.D,SPIC,4,0.6251415908188505,0.22860624871709914,0.2774947101492563,-0.8928498847658602,1.1703445949151166,0,False,0.0,normal-suppression
SPIC_Hsapiens-SwissRegulon-SPIC.SwissRegulon,SPIC,4,0.772386996863678,0.4887031058427965,0.30689768498817777,-0.40141302152488717,0.7083107065130649,0,False,-0.39999999999999997,other
SPIC_Hsapiens-jaspar2016-SPIC-MA0687.1,SPIC,4,0.25374016854864534,0.13569656283649734,-0.2642692812451591,-0.7176023123268768,0.4533330310817177,0,False,0.39999999999999997,neutral
SPIC_Hsapiens-jaspar2018-SPIC-MA0687.1,SPIC,4,0.2269613050540336,0.20819315057690305,2.604901475702255,1.4827134729059221,1.1221880027963327,0,False,-0.39999999999999997,tumor-gain
SPIC_Hsapiens-jolma2013-SPIC,SPIC,5,0.1799041204815137,0.16097598902702592,-0.2514603452732928,-0.7663524741748666,0.5148921289015738,0,False,-0.09999999999999999,normal-suppression
SPZ1_1	Spz1_transfac_M00446,SPZ1,7,0.44974347689173894,0.08197327469479487,-0.548359720855193,-0.9230330979024612,0.3746733770472682,0,False,-0.07142857142857144,neutral
SPZ1_2	Spz1_jaspar_MA0111.1,SPZ1,10,1.0,0.25112368890479836,0.3481827634949544,-0.814087458112866,1.1622702216078205,0,False,-0.40854418032379974,normal-suppression
SPZ1_Hsapiens-HOCOMOCOv10-SPZ1_HUMAN.H10MO.D,SPZ1,10,0.40131710237477547,0.2010257519964151,0.4117201547968209,0.06525762007329942,0.34646253472352145,0,False,-0.07294866524160776,neutral
SRBP1_Hsapiens-HOCOMOCOv10-SRBP1_HUMAN.H10MO.B,SREBF1,9,0.421704792084151,0.421704792084151,0.0,0.0,0.0,0,True,0.6333333333333333,neutral
SRBP2_Hsapiens-HOCOMOCOv10-SRBP2_HUMAN.H10MO.B,SREBF2,6,0.7332897775554056,0.5100564655188911,0.015026215301667123,-0.4886392379428305,0.5036654532444976,0,False,0.3142857142857143,other
SREBF1_Hsapiens-JASPAR_2014-SREBF1-MA0595.1,SREBF1,7,1.0,0.3299408034581992,0.5409508849654618,0.25920647596193375,0.2817444090035281,0,False,-0.10714285714285716,neutral
SREBF1_Hsapiens-SwissRegulon-SREBF1.SwissRegulon,SREBF1,10,0.002393364076686164,0.000976885945566538,1.5956428191269547,0.07718470364905468,1.5184581154779,0,False,-0.41818181818181815,tumor-gain
SREBF1_Hsapiens-cisbp_1.02-M2387_1.02,SREBF1,6,0.572314491410649,0.3068344266057431,1.6766273095799786,1.1083649337168913,0.5682623758630874,0,False,-0.3714285714285715,tumor-gain
SREBF1_Hsapiens-cisbp_1.02-M3944_1.02,SREBF1,10,0.2737176577394464,0.14395776858324993,0.16684650275654084,-1.627214688806904,1.7940611915634448,0,False,-0.2121212121212121,normal-suppression
