tf,sensor_log2_selectivity,tf_mrna_log10_ratio
MYC,2.26744,0.22497
MLXIPL,2.26624,1.28556
IRF4,2.26593,-0.17271
MYC,2.26409,0.22497
E2F1,2.26167,-0.14567
E2F3,2.26077,0.35972
MITF,2.25829,0.30426
MYC,2.25559,0.22497
E2F1,2.25496,-0.14567
SIN3A,2.25417,0.04933
ATF4,2.25337,0.11374
E2F4,2.25316,0.14148
IRF4,2.2521,-0.17271
MYC,2.25164,0.22497
REST,2.25138,0.20711
ARNT,2.24901,0.03492
MYC,2.24711,0.22497
IRF9,2.24686,0.07959
E2F1,2.24676,-0.14567
E2F3,2.24619,0.35972
MAX,2.24509,0.13856
MYC,2.24034,0.22497
E2F4,2.23937,0.14148
MYC,2.23845,0.22497
ARNT,2.23835,0.03492
E2F2,2.23702,0.546
E2F3,2.23676,0.35972
MYC,2.23641,0.22497
MAX,2.23581,0.13856
ATF3,2.23371,0.74563
CREB3L1,2.23332,-0.29251
MYC,2.2328,0.22497
SIN3A,2.23072,0.04933
MAX,2.22895,0.13856
MAX,2.22609,0.13856
MYC,2.22536,0.22497
MYC,2.22531,0.22497
HEY2,2.21965,1.09575
E2F5,2.21701,0.52151
TFE3,2.21657,-0.02572
E2F5,2.21401,0.52151
ATF4,2.21223,0.11374
MAX,2.21161,0.13856
E2F1,2.21126,-0.14567
MYC,2.211,0.22497
E2F1,2.20514,-0.14567
TEAD3,2.20449,-0.10294
E2F6,2.20431,0.21414
E2F1,2.20422,-0.14567
MYC,2.20393,0.22497
ZNF143,2.20386,-0.08045
E2F1,2.20191,-0.14567
MYC,2.19753,0.22497
CEBPB,2.19719,0.1585
TEAD4,2.19719,0.33182
MYC,2.19448,0.22497
E2F2,2.19259,0.546
MAX,2.19251,0.13856
MYC,2.19235,0.22497
HLF,2.19224,1.20049
MTF1,2.18878,0.11672
MYC,2.18482,0.22497
MAFB,2.18194,0.64383
E2F2,2.1814,0.546
BHLHE40,2.17906,0.12349
MYC,2.17846,0.22497
CREB3L1,2.17419,-0.29251
MXI1,2.17382,0.36623
MLX,2.17334,0.04225
MYC,2.1694,0.22497
HEY2,2.16366,1.09575
MYC,2.16311,0.22497
MYC,2.16118,0.22497
MYC,2.16028,0.22497
CREB3L1,2.15896,-0.29251
MYC,2.1575,0.22497
HIF1A,2.15608,-0.1013
GZF1,2.15497,-0.10714
MYC,2.15413,0.22497
MYC,2.15406,0.22497
MYC,2.15316,0.22497
MXI1,2.15297,0.36623
